,t0,m0,mw,x,y,z,area,dt
16908,129949367709.30632,2.191965008145314e+20,7.493889,174629.845619,4964720.551422,-12571.428571,1492681713.782782,47.227294921875
16916,130015782868.23535,4.297338100434234e+19,7.022133,997553.039808,5819567.288108,-14250.0,414689319.240005,27.621978759765625
16981,130408807626.55118,1.6943243270305304e+20,7.419331,678883.318155,5322821.349625,-13000.0,1204377668.390171,37.87590026855469
17239,131905925645.56941,2.8445466122833615e+20,7.569342,1167482.419649,5860402.770848,-19792.207792,2402852329.304535,62.01673889160156
17324,132523013455.90837,6.318957608787166e+19,7.133764,640677.393185,5314046.924929,-13000.0,627002392.311645,35.449493408203125
17366,132722744008.37439,3.107742873017536e+20,7.594963,221664.233786,5036101.568583,-11700.0,2032611814.427215,64.03973388671875
17384,132819295786.11133,1.173309159426197e+21,7.979608,512692.236168,5244196.440045,-9900.0,6558654743.912058,205.4458465576172
17385,132819312262.25269,9.955962057958633e+19,7.265389,529249.169658,5254686.742511,-11000.0,942286410.677716,31.94921875
17549,134004168431.01665,3.398183214581524e+20,7.620831,943231.414326,5526180.19376,-18233.766234,2872524208.696352,60.57786560058594
17932,136126068800.83179,2.0119285505904653e+20,7.469075,177315.922423,4948995.04975,-20000.0,1740337049.609126,48.92327880859375
18088,136925060691.30528,3.832015615270978e+21,8.322285,801756.972218,5380044.270878,-12935.064935,17011462201.650713,164.68081665039062
18117,137042412255.90999,3.0407245529495634e+20,7.588651,654546.764491,5363650.457801,-12600.0,1628500340.279413,60.57536315917969
18248,137912557829.2588,2.879133169272051e+20,7.572841,777364.962347,5377415.365902,-6545.454545,2121932598.748491,74.1629638671875
18308,138143949080.45865,5.467602730897761e+19,7.091865,213593.232796,5040204.301949,-13000.0,502475762.438347,21.001617431640625
18318,138233638785.90735,1.7073413544961953e+20,7.421547,586363.046708,5275828.342281,-10000.0,1323651681.973373,32.223236083984375
18321,138238217601.1645,2.5856043231796825e+20,7.541708,651167.222709,5286678.00497,-13000.0,1480065801.762032,49.344879150390625
18436,138938492924.8811,4.029387003625836e+19,7.003493,949012.896708,5736032.272365,-6300.0,393474344.473984,20.64764404296875
18446,138969488909.91254,4.5179257971835585e+19,7.036626,1069659.665738,5873094.902149,-7500.0,399541566.742814,14.877532958984375
18484,139227457958.07645,1.231927143373602e+20,7.327057,1101358.944415,5913132.157414,-5250.0,726623134.593824,27.776336669921875
18523,139506021576.42493,5.57344990669291e+19,7.097416,201396.194762,5016647.691506,-10800.0,617836629.629935,32.5115966796875
18594,139951325156.56613,1.3055857203790047e+21,8.010537,510516.123399,5241267.910286,-11700.0,7949820308.536869,266.1124572753906
18698,140532158766.08383,5.7632110474203455e+19,7.10711,1018177.395748,5857134.338395,-10500.0,724343613.204744,33.2012939453125
18778,141121299104.74106,4.340551685403758e+19,7.02503,615184.07929,5289963.03555,-13000.0,537801775.748291,32.362945556640625
18935,142157605219.74808,4.582734550063007e+19,7.04075,535035.784584,5254909.358736,-9000.0,597722243.749121,29.407867431640625
19010,142596480389.49655,4.415647535871952e+19,7.029996,717037.384696,5331363.597298,-9000.0,366574803.349262,16.0946044921875
19044,142805603775.65305,1.532401659306596e+20,7.390248,562793.318607,5279216.500045,-7200.0,1187116537.819688,40.856597900390625
19098,143148057132.15347,7.575232680266277e+19,7.186264,1033687.337735,5908178.94966,-5250.0,680783276.197634,21.020538330078125
19199,143907497059.5052,8.474929842097747e+19,7.218757,195340.860814,5009170.798455,-7200.0,751077995.675478,34.86920166015625
19462,145510613961.89365,8.245758084589188e+19,7.21082,168231.712921,5037752.957488,-3000.0,589475157.274196,25.82763671875
19556,146003457983.4831,3.275661460958911e+20,7.610199,694118.443022,5327634.858221,-11700.0,1755763249.398769,47.89080810546875
19561,146013689573.66827,8.273816410037641e+19,7.211804,786645.677199,5380973.450105,-6361.456672,761664353.759063,33.75860595703125
19684,146736903769.58807,1.2426549241455043e+21,7.996234,512961.269106,5241800.196484,-13500.0,7925425040.523743,286.1449890136719
19772,147196936999.07703,8.178722581405142e+19,7.208457,792755.742497,5350409.502217,-13000.0,945886603.482669,42.1199951171875
19857,147607008286.5825,3.9871137097488196e+19,7.000439,1032407.453222,5805666.741888,-6750.0,550890251.374103,26.147552490234375
19908,147881401675.09702,2.1842535635661645e+20,7.492869,608263.752703,5311213.076057,-9000.0,1571944941.266496,66.07659912109375
19926,147934367608.2111,1.5741347337905095e+20,7.398028,756636.889797,5406980.215575,-13000.0,1154491460.566512,30.6644287109375
20019,148501018247.51254,1.2861708634714699e+20,7.339532,80724.284235,4800863.349049,-8000.0,954283709.236103,31.2047119140625
20042,148637724602.9291,2.5077451326732645e+20,7.532856,718626.721275,5327303.431399,-10636.363636,1871422233.346119,83.57244873046875
20069,148771673476.16092,1.819876954106854e+20,7.440028,103055.269068,4767462.918183,-4500.0,1256897860.950036,63.189849853515625
20140,149121166190.93887,6.875626342823685e+19,7.158208,195374.225277,5006391.188188,-9900.0,657374337.027513,27.06243896484375
20201,149439587562.8178,1.0379444998766774e+20,7.277449,589798.753225,5273718.403525,-11000.0,743989739.367014,29.7435302734375
20308,150015436832.89023,9.234037533795757e+19,7.243594,571107.163748,5270481.252562,-10000.0,808343732.459016,29.325775146484375
20405,150381385521.45248,9.48110751624474e+20,7.917906,135566.779747,4909183.715862,-19000.0,4866569828.105485,93.88589477539062
20417,150461278839.4704,6.8528890693782495e+22,9.157249,1062415.084515,5704706.554002,-19012.987013,125892602248.57944,448.83489990234375
20481,150484848142.36832,4.147043600083669e+19,7.011826,956464.706287,5713957.644694,-9000.0,301262932.033605,14.546630859375
20564,151093804820.13434,4.1270028435679e+19,7.010423,619755.126207,5218454.935219,-8000.0,472584687.84774,20.267730712890625
20576,151241096096.52087,5.228785422435559e+19,7.078934,540614.052635,5271176.352648,-13000.0,495360382.537877,30.478424072265625
20754,152856584698.5417,3.781488638854786e+20,7.651775,768349.447072,5372628.24614,-12272.727273,2465026495.860852,67.32864379882812
20755,152856586460.81796,7.459220008963696e+19,7.181796,766052.327132,5335055.092313,-9000.0,697205768.114719,30.0736083984375
20851,153607932875.07703,5.610420795841764e+19,7.09933,1056211.939303,5905222.30074,-9750.0,440924155.680338,21.428192138671875
20948,154277548552.7896,4.3432494567799794e+21,8.358543,45475.618647,4525561.629957,-19500.0,16061990425.723282,166.58596801757812
20983,154606381954.79755,1.4899721985326842e+21,8.048785,514549.670141,5244947.571269,-10800.0,8437546612.919939,266.0860595703125
21102,155695697381.06384,7.859971136966548e+19,7.196947,1032356.542776,5878251.551509,-12000.0,714269569.314849,30.641387939453125
21139,155928363553.90253,2.7215980145675393e+20,7.556549,470311.703258,5114871.076142,-7200.0,1033765308.118517,42.476531982421875
